"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,17,165,145
1,8,44,463,209
2,31,55,342,141
3,34,36,356,129
4,28,42,318,115
5,30,45,328,84
6,32,47,356,94
7,24,39,359,108
8,27,38,353,106
9,29,34,324,77
10,25,30,270,92
11,14,30,202,104
12,29,20,229,87
13,14,23,194,92
14,13,27,195,92
15,8,20,134,97
16,13,15,132,80
17,12,13,114,84
18,5,22,95,99
19,11,18,73,90
20,5,12,73,81
21,3,15,72,69
22,6,9,71,63
23,5,14,62,54
24,5,11,64,62
25,7,16,67,48
26,5,9,62,54
27,7,3,62,39
28,2,8,56,39
29,5,7,61,40
30,6,11,58,32
31,0,12,60,25
32,5,2,59,29
33,3,5,46,24
34,2,5,52,19
35,1,5,41,23
36,2,5,37,23
37,5,7,37,20
38,3,9,42,11
39,5,3,38,7
40,5,4,35,18
41,1,2,43,11
42,3,6,52,9
43,3,2,45,15
44,2,1,24,9
45,4,2,22,9
46,1,1,37,5
47,3,4,25,5
48,3,0,28,6
49,3,1,24,5
50,0,0,27,7
51,0,2,17,5
52,4,3,19,5
53,1,1,21,5
54,3,0,15,2
55,1,1,19,2
56,1,3,16,4
57,2,0,12,1
58,0,0,12,3
59,0,0,10,2
60,0,NA,NA,NA
