"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,8,180,155
1,9,23,503,226
2,30,29,392,158
3,20,30,400,133
4,30,23,372,124
5,29,32,397,95
6,30,25,403,96
7,25,23,410,118
8,26,26,398,112
9,36,16,363,90
10,23,22,308,97
11,24,21,250,117
12,21,25,253,98
13,21,14,220,98
14,14,16,210,102
15,9,33,156,109
16,16,8,146,90
17,14,18,128,90
18,7,16,109,108
19,7,10,81,95
20,10,17,85,89
21,7,13,78,75
22,5,13,75,67
23,5,14,71,59
24,5,14,77,67
25,6,6,74,54
26,2,8,71,61
27,2,6,70,43
28,4,13,60,45
29,5,7,68,45
30,4,13,59,39
31,2,9,66,27
32,3,8,64,32
33,2,10,51,25
34,1,6,55,23
35,1,2,45,24
36,1,8,45,25
37,5,4,42,23
38,3,5,47,11
39,3,7,43,8
40,3,7,35,20
41,6,6,48,13
42,6,3,56,10
43,4,5,46,19
44,3,2,28,10
45,1,4,24,10
46,1,5,39,7
47,4,2,26,5
48,4,1,30,8
49,2,1,24,6
50,0,1,27,9
51,0,3,21,5
52,2,3,21,6
53,2,6,24,5
54,1,0,16,4
55,1,2,19,2
56,4,2,20,5
57,3,2,12,1
58,0,1,12,3
59,2,1,10,2
60,0,NA,NA,NA
