"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,8,4,92,83
2,31,24,206,119
3,11,25,150,73
4,17,21,133,81
5,9,24,125,63
6,12,17,136,53
7,19,8,129,53
8,11,16,122,61
9,14,10,131,52
10,19,17,144,46
11,12,23,130,46
12,9,19,94,52
13,8,13,111,48
14,10,6,106,49
15,12,5,113,46
16,5,8,74,51
17,4,15,76,33
18,6,18,56,46
19,6,10,49,54
20,6,9,45,52
21,1,11,40,42
22,5,3,36,27
23,4,4,40,34
24,1,7,40,23
25,1,11,36,31
26,4,12,39,22
27,5,6,41,27
28,4,10,27,19
29,6,4,33,15
30,3,3,32,17
31,5,4,35,11
32,4,8,38,10
33,3,5,25,12
34,3,11,22,9
35,2,6,25,7
36,2,7,24,10
37,4,7,22,9
38,1,5,20,8
39,1,6,27,6
40,2,7,23,4
41,1,4,19,6
42,3,6,21,2
43,0,6,30,4
44,3,3,21,5
45,0,4,13,2
46,1,2,10,1
47,4,2,14,3
48,2,4,13,4
49,1,2,13,1
50,0,0,9,2
51,2,3,14,3
52,0,0,7,1
53,0,2,6,3
54,1,1,8,1
55,2,0,5,2
56,1,2,7,0
57,0,0,8,1
58,2,2,4,1
59,0,2,4,2
60,0,1,5,0
