"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,1,0,195,160
2,3,1,549,237
3,2,1,438,163
4,6,1,452,138
5,2,0,426,129
6,1,1,458,97
7,1,4,472,97
8,0,0,465,122
9,0,1,459,117
10,1,0,403,100
11,0,2,354,101
12,3,2,297,121
13,0,0,298,104
14,2,2,246,103
15,2,0,229,108
16,1,1,189,110
17,1,2,171,94
18,0,3,146,96
19,0,1,123,114
20,0,1,99,102
21,1,0,103,101
22,0,2,96,79
23,1,1,90,75
24,2,0,85,65
25,0,2,89,74
26,1,0,81,59
27,1,2,77,72
28,2,0,79,47
29,0,2,76,49
30,2,2,79,48
31,2,0,71,45
32,1,0,72,34
33,2,1,71,37
34,3,0,59,30
35,1,0,63,30
36,1,0,56,30
37,1,2,55,30
38,0,0,53,27
39,1,1,53,16
40,2,2,48,8
41,1,1,52,25
42,0,2,57,15
43,1,0,63,12
44,0,0,54,21
45,0,0,38,13
46,0,1,26,11
47,1,4,51,11
48,2,2,32,6
49,1,3,35,10
50,3,0,31,6
51,1,0,35,7
52,1,1,28,7
53,3,1,24,8
54,1,0,26,7
55,0,1,21,7
56,3,4,28,4
57,1,0,26,6
58,4,1,15,2
59,1,1,15,4
60,0,1,12,3
