"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,8,13,93,84
2,28,20,213,120
3,12,26,151,75
4,17,17,136,81
5,11,26,127,64
6,15,21,138,53
7,20,15,129,53
8,10,19,125,61
9,14,15,131,55
10,18,7,146,46
11,12,14,131,48
12,12,9,94,53
13,10,14,111,49
14,10,17,107,49
15,10,18,114,48
16,6,11,75,51
17,5,7,77,34
18,7,5,57,46
19,6,4,49,56
20,6,12,46,53
21,1,15,40,43
22,6,7,36,30
23,3,7,41,34
24,0,9,41,23
25,1,3,36,32
26,5,3,39,24
27,5,7,41,28
28,3,11,27,20
29,6,9,33,15
30,2,5,33,18
31,5,9,35,11
32,4,3,39,11
33,2,2,26,13
34,3,3,22,9
35,2,7,25,7
36,2,5,25,10
37,5,10,22,10
38,1,5,20,9
39,3,6,27,5
40,3,5,24,4
41,2,4,19,6
42,2,5,21,3
43,1,5,30,5
44,4,3,21,5
45,0,5,14,3
46,2,5,10,0
47,4,2,14,3
48,3,4,13,4
49,2,1,13,1
50,0,2,9,2
51,2,4,14,3
52,0,1,7,1
53,1,0,6,3
54,0,3,8,1
55,2,0,5,2
56,1,2,7,0
57,0,0,8,1
58,2,0,4,1
59,0,2,4,2
60,0,0,5,0
