"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,8,9,91,83
2,31,27,203,118
3,13,22,148,71
4,18,26,132,79
5,11,18,123,63
6,14,9,134,53
7,19,14,129,53
8,9,11,122,61
9,15,17,131,52
10,20,24,142,45
11,14,22,127,45
12,9,13,94,52
13,7,7,111,48
14,10,7,105,49
15,12,7,113,46
16,5,14,74,51
17,4,18,76,32
18,6,10,56,46
19,7,10,48,54
20,6,11,45,52
21,1,4,40,42
22,4,6,36,27
23,4,7,40,34
24,1,11,40,22
25,1,12,36,31
26,4,7,39,21
27,5,11,41,27
28,5,4,26,19
29,6,3,33,15
30,4,3,32,17
31,5,9,35,11
32,4,5,38,10
33,4,11,24,12
34,3,6,22,9
35,3,7,24,7
36,2,7,24,10
37,3,7,22,9
38,1,6,20,9
39,3,7,24,5
40,2,4,23,4
41,1,6,20,6
42,3,6,20,2
43,0,3,30,4
44,3,4,21,5
45,0,3,13,2
46,1,2,10,0
47,4,4,14,3
48,2,2,13,4
49,1,0,13,1
50,0,3,9,2
51,2,0,14,3
52,0,2,7,1
53,1,1,6,3
54,0,0,8,1
55,2,2,5,2
56,1,0,7,0
57,0,2,8,1
58,1,2,4,1
59,0,2,4,2
60,0,2,5,0
