"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,11,107,101
1,12,34,252,140
2,24,35,168,91
3,20,50,169,90
4,19,55,150,72
5,19,37,162,62
6,18,33,164,59
7,18,26,165,69
8,13,29,151,66
9,22,33,172,53
10,16,24,144,56
11,14,15,109,61
12,10,24,128,55
13,6,25,119,55
14,10,12,126,57
15,9,19,82,62
16,4,16,86,38
17,3,14,65,48
18,4,8,59,59
19,3,16,53,61
20,3,8,45,48
21,1,13,42,37
22,9,11,44,39
23,3,7,41,26
24,2,11,40,37
25,2,6,46,27
26,2,9,47,32
27,2,5,30,23
28,3,5,40,17
29,3,4,36,22
30,2,7,41,13
31,2,3,43,13
32,2,2,29,15
33,3,1,28,9
34,1,6,29,11
35,3,3,29,11
36,0,5,28,12
37,1,5,22,10
38,4,5,30,5
39,2,4,26,4
40,2,3,20,8
41,4,3,25,3
42,0,2,30,6
43,3,6,23,9
44,4,3,13,4
45,3,0,13,2
46,1,2,20,3
47,0,2,17,4
48,1,1,16,3
49,2,0,12,2
50,1,4,18,4
51,1,4,9,3
52,2,1,8,3
53,3,2,9,1
54,3,4,6,2
55,1,2,9,0
56,2,2,8,3
57,1,0,6,1
58,0,2,5,2
59,2,2,5,0
60,1,NA,NA,NA
